backbone,batch,cosine,epoch,tasks,tau
GNN,0,0.330137,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,1,0.016005,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,2,0.041422,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,3,-0.347199,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,4,0.285735,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,5,0.301607,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,6,0.060495,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,7,0.153507,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,8,0.145975,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,9,0.012993,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,10,-0.074040,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,11,0.091473,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,12,0.075999,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,13,-0.226585,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,14,0.110988,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
GNN,15,-0.063320,247,mu|eps_LUMO,0.000000|-0.059273|-0.050818|0.000000
Uni-Mol,0,-0.126590,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,1,0.176511,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,2,-0.065209,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,3,-0.129290,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,4,0.010674,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,5,-0.129854,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,6,-0.413877,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,7,-0.019105,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,8,0.057657,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,9,0.426706,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,10,0.205896,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,11,0.337429,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,12,0.275534,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,13,0.127573,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,14,-0.642168,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
Uni-Mol,15,-0.404241,146,mu|eps_LUMO,0.000000|-0.097720|0.004614|0.000000
