backbone,batch,cosine,epoch,tasks,tau
GNN,0,0.099521,255,mu|eps_LUMO,
GNN,1,0.199676,255,mu|eps_LUMO,
GNN,2,0.044660,255,mu|eps_LUMO,
GNN,3,0.158735,255,mu|eps_LUMO,
GNN,4,0.241938,255,mu|eps_LUMO,
GNN,5,-0.098954,255,mu|eps_LUMO,
GNN,6,0.447364,255,mu|eps_LUMO,
GNN,7,0.363133,255,mu|eps_LUMO,
GNN,8,-0.071227,255,mu|eps_LUMO,
GNN,9,0.178764,255,mu|eps_LUMO,
GNN,10,0.230179,255,mu|eps_LUMO,
GNN,11,0.344065,255,mu|eps_LUMO,
GNN,12,0.330672,255,mu|eps_LUMO,
GNN,13,0.231441,255,mu|eps_LUMO,
GNN,14,-0.086233,255,mu|eps_LUMO,
GNN,15,-0.193987,255,mu|eps_LUMO,
Uni-Mol,0,-0.275940,89,mu|eps_LUMO,
Uni-Mol,1,-0.218525,89,mu|eps_LUMO,
Uni-Mol,2,-0.605342,89,mu|eps_LUMO,
Uni-Mol,3,-0.070454,89,mu|eps_LUMO,
Uni-Mol,4,-0.338316,89,mu|eps_LUMO,
Uni-Mol,5,-0.496979,89,mu|eps_LUMO,
Uni-Mol,6,0.262180,89,mu|eps_LUMO,
Uni-Mol,7,0.076563,89,mu|eps_LUMO,
Uni-Mol,8,0.184816,89,mu|eps_LUMO,
Uni-Mol,9,0.308537,89,mu|eps_LUMO,
Uni-Mol,10,0.481017,89,mu|eps_LUMO,
Uni-Mol,11,0.002426,89,mu|eps_LUMO,
Uni-Mol,12,0.250057,89,mu|eps_LUMO,
Uni-Mol,13,-0.073236,89,mu|eps_LUMO,
Uni-Mol,14,0.451596,89,mu|eps_LUMO,
Uni-Mol,15,0.322408,89,mu|eps_LUMO,
