backbone,batch,epoch,tasks,matrix,tau
GNN,0,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000569|-0.038662|0.093861|0.101075|0.012321|0.187060|0.098676|-0.047835|0.105706|-0.058279|0.023268|-0.038662|1.000750|0.196851|-0.004484|-0.201953|0.319113|0.148985|0.377403|-0.210372|0.413644|0.129336|0.093861|0.196851|1.000650|0.211752|-0.067020|0.355299|-0.001147|-0.072845|-0.047537|-0.061845|0.157840|0.101075|-0.004484|0.211752|1.000736|0.017472|0.549549|-0.001712|-0.069053|0.152477|-0.052093|0.201240|0.012321|-0.201953|-0.067020|0.017472|1.000521|0.025740|-0.104020|-0.390358|0.206159|-0.385536|0.336028|0.187060|0.319113|0.355299|0.549549|0.025740|1.000660|0.024916|-0.075236|0.096322|-0.045020|0.430518|0.098676|0.148985|-0.001147|-0.001712|-0.104020|0.024916|1.000672|0.374797|0.275075|0.351429|-0.185543|-0.047835|0.377403|-0.072845|-0.069053|-0.390358|-0.075236|0.374797|1.000543|-0.351388|0.979780|-0.263203|0.105706|-0.210372|-0.047537|0.152477|0.206159|0.096322|0.275075|-0.351388|1.000644|-0.354791|-0.029616|-0.058279|0.413644|-0.061845|-0.052093|-0.385536|-0.045020|0.351429|0.979780|-0.354791|1.000418|-0.227366|0.023268|0.129336|0.157841|0.201240|0.336028|0.430518|-0.185543|-0.263203|-0.029616|-0.227366|1.000659,
GNN,1,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000650|0.043035|-0.191693|0.005110|0.175063|-0.010731|0.065455|0.052453|-0.091733|0.068387|-0.081610|0.043035|1.000686|-0.119287|-0.146183|0.078322|-0.652115|0.318477|0.242654|-0.055743|0.191427|0.300238|-0.191693|-0.119287|1.000710|-0.016565|0.196830|-0.137049|-0.479402|-0.436769|0.484605|-0.481188|0.049984|0.005110|-0.146183|-0.016565|1.000724|-0.112643|0.198579|-0.054128|-0.036988|-0.134993|0.006317|-0.362508|0.175063|0.078322|0.196830|-0.112643|1.000495|-0.275886|-0.268262|-0.279780|0.296659|-0.305398|0.207627|-0.010731|-0.652115|-0.137049|0.198579|-0.275886|1.000542|0.191955|0.286819|-0.348783|0.355703|-0.391101|0.065455|0.318477|-0.479402|-0.054128|-0.268262|0.191955|1.000634|0.958142|-0.531960|0.954689|0.039360|0.052453|0.242654|-0.436769|-0.036988|-0.279780|0.286819|0.958142|1.000694|-0.444915|0.979068|-0.034877|-0.091733|-0.055743|0.484605|-0.134993|0.296659|-0.348783|-0.531960|-0.444915|1.000729|-0.571605|0.026235|0.068387|0.191427|-0.481188|0.006317|-0.305398|0.355703|0.954689|0.979068|-0.571605|1.000555|-0.058118|-0.081610|0.300238|0.049984|-0.362508|0.207627|-0.391101|0.039360|-0.034877|0.026235|-0.058118|1.000655,
GNN,2,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000525|-0.079096|0.055042|-0.010860|0.079652|-0.141648|-0.114839|-0.114221|-0.122078|-0.119583|-0.015565|-0.079096|1.000710|0.061753|0.266924|0.087320|0.674655|-0.057939|-0.036552|0.068494|-0.102947|0.036583|0.055042|0.061753|1.000741|0.017188|0.216192|0.235972|-0.370990|-0.396515|-0.244244|-0.377708|0.393112|-0.010860|0.266924|0.017188|1.000575|0.021192|0.187722|-0.050683|-0.046223|-0.095194|-0.046396|-0.079649|0.079652|0.087320|0.216192|0.021192|1.000533|0.134735|-0.415172|-0.407832|-0.278061|-0.403933|0.318090|-0.141648|0.674655|0.235972|0.187722|0.134735|1.000721|-0.025779|-0.026993|0.009952|-0.038753|0.157644|-0.114839|-0.057939|-0.370990|-0.050683|-0.415172|-0.025779|1.000411|0.986094|0.751425|0.970884|-0.293917|-0.114221|-0.036552|-0.396515|-0.046223|-0.407832|-0.026993|0.986094|1.000430|0.759547|0.970969|-0.318196|-0.122078|0.068494|-0.244244|-0.095194|-0.278061|0.009952|0.751425|0.759547|1.000587|0.647492|-0.180796|-0.119583|-0.102947|-0.377708|-0.046396|-0.403933|-0.038753|0.970884|0.970969|0.647492|1.000339|-0.292532|-0.015565|0.036583|0.393112|-0.079649|0.318090|0.157644|-0.293917|-0.318196|-0.180796|-0.292532|1.000578,
GNN,3,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000509|-0.037998|-0.012746|0.001235|-0.001342|0.054724|0.010356|-0.010271|0.003318|-0.018494|-0.077131|-0.037998|1.000704|0.223069|0.014014|0.058491|-0.375844|-0.302234|-0.328203|0.285572|-0.336772|0.219843|-0.012746|0.223069|1.000664|0.023409|0.009817|-0.157170|-0.095594|-0.144659|0.126959|-0.160189|0.084210|0.001235|0.014014|0.023409|1.000718|0.026843|0.091564|0.010691|-0.027918|0.010669|-0.044806|-0.121383|-0.001342|0.058491|0.009817|0.026843|1.000226|-0.009186|-0.013893|-0.038260|0.040037|-0.044852|-0.064235|0.054724|-0.375844|-0.157170|0.091564|-0.009186|1.000642|0.535092|0.572097|-0.488643|0.572643|-0.313538|0.010356|-0.302234|-0.095594|0.010691|-0.013893|0.535092|1.000533|0.957312|-0.939515|0.932102|0.001328|-0.010271|-0.328203|-0.144659|-0.027918|-0.038260|0.572097|0.957312|1.000390|-0.938429|0.993278|-0.094767|0.003318|0.285572|0.126959|0.010669|0.040037|-0.488643|-0.939515|-0.938429|1.000491|-0.914230|-0.047603|-0.018494|-0.336772|-0.160189|-0.044806|-0.044852|0.572643|0.932102|0.993278|-0.914230|1.000392|-0.117575|-0.077131|0.219843|0.084210|-0.121383|-0.064235|-0.313538|0.001328|-0.094767|-0.047603|-0.117575|1.000672,
GNN,4,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000702|-0.520452|-0.041453|0.256322|0.144646|0.365249|-0.295107|-0.266874|0.140207|-0.277086|-0.120789|-0.520452|1.000585|0.108584|-0.126033|-0.204815|-0.553355|0.471494|0.404016|-0.227051|0.464282|0.204046|-0.041453|0.108584|1.000665|-0.174028|-0.039756|-0.147057|-0.168506|-0.163974|0.069612|-0.171586|0.085562|0.256322|-0.126033|-0.174028|1.000725|-0.048205|0.394011|0.159705|0.095091|-0.241094|0.217684|-0.359411|0.144646|-0.204815|-0.039756|-0.048205|1.000361|0.054116|-0.193879|-0.181947|0.079096|-0.189530|0.200736|0.365249|-0.553355|-0.147057|0.394011|0.054116|1.000695|0.182507|0.232191|-0.024236|0.174667|-0.482242|-0.295107|0.471494|-0.168506|0.159705|-0.193879|0.182507|1.000504|0.909674|-0.399630|0.941958|-0.257640|-0.266874|0.404016|-0.163974|0.095091|-0.181947|0.232191|0.909674|1.000582|-0.046532|0.795490|-0.191607|0.140207|-0.227051|0.069612|-0.241094|0.079096|-0.024236|-0.399630|-0.046532|1.000617|-0.619624|0.273095|-0.277086|0.464282|-0.171586|0.217684|-0.189530|0.174667|0.941958|0.795490|-0.619624|1.000304|-0.306106|-0.120789|0.204046|0.085562|-0.359411|0.200736|-0.482242|-0.257640|-0.191607|0.273096|-0.306106|1.000644,
GNN,5,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000631|-0.112441|0.017437|0.023907|-0.019888|0.029814|-0.110692|-0.131531|-0.165924|-0.123060|-0.008118|-0.112441|1.000672|0.367130|0.240123|-0.111193|-0.584289|0.344274|0.253135|0.366839|0.311989|0.313385|0.017437|0.367130|1.000717|0.457919|-0.195522|-0.602554|-0.207061|-0.285153|-0.130248|-0.251340|0.417376|0.023907|0.240123|0.457919|1.000751|-0.263695|-0.430437|-0.224448|-0.272867|-0.071481|-0.279389|0.418551|-0.019888|-0.111193|-0.195522|-0.263695|1.000573|0.377804|0.304642|0.366646|0.254086|0.364143|-0.460144|0.029814|-0.584289|-0.602554|-0.430437|0.377804|1.000659|0.232623|0.343462|0.124690|0.314253|-0.595196|-0.110692|0.344274|-0.207061|-0.224448|0.304642|0.232623|1.000545|0.919980|0.783323|0.952225|-0.219759|-0.131531|0.253135|-0.285153|-0.272867|0.366646|0.343462|0.919980|1.000533|0.808710|0.958045|-0.263339|-0.165924|0.366839|-0.130248|-0.071481|0.254086|0.124690|0.783323|0.808710|1.000738|0.766206|-0.108904|-0.123060|0.311989|-0.251340|-0.279389|0.364143|0.314253|0.952225|0.958045|0.766206|1.000427|-0.276704|-0.008118|0.313385|0.417376|0.418551|-0.460145|-0.595196|-0.219759|-0.263339|-0.108904|-0.276704|1.000622,
GNN,6,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000690|-0.265409|-0.217686|-0.084605|0.142399|0.317903|0.134391|0.086612|-0.182430|-0.073425|-0.060344|-0.265409|1.000724|0.162313|0.197691|-0.055336|-0.527274|-0.108686|-0.051585|0.208639|0.179163|0.245467|-0.217686|0.162313|1.000523|0.041658|-0.045446|-0.227606|-0.055389|-0.016036|0.101562|0.031130|-0.019852|-0.084605|0.197691|0.041658|1.000706|-0.348629|-0.012339|-0.256469|-0.169666|-0.054905|0.368655|-0.156960|0.142399|-0.055336|-0.045446|-0.348629|1.000532|-0.052345|0.284059|0.183139|0.018759|-0.404075|0.199997|0.317903|-0.527274|-0.227606|-0.012339|-0.052345|1.000657|-0.021448|0.055995|-0.167044|0.168596|-0.341299|0.134391|-0.108686|-0.055389|-0.256469|0.284059|-0.021448|1.000566|0.894252|0.617128|-0.661740|0.228099|0.086612|-0.051585|-0.016036|-0.169666|0.183139|0.055995|0.894252|1.000610|0.759804|-0.433532|0.174419|-0.182430|0.208639|0.101562|-0.054905|0.018759|-0.167044|0.617128|0.759804|1.000707|-0.173665|0.178939|-0.073425|0.179163|0.031130|0.368655|-0.404075|0.168596|-0.661740|-0.433532|-0.173665|1.000688|-0.143574|-0.060344|0.245467|-0.019853|-0.156960|0.199997|-0.341299|0.228099|0.174419|0.178939|-0.143574|1.000651,
GNN,7,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000561|-0.242112|-0.315947|0.042774|-0.096089|0.102782|0.005836|0.047413|-0.003443|0.128031|-0.032874|-0.242112|1.000801|0.602431|-0.099225|0.265948|0.209781|-0.432825|-0.327101|0.471597|-0.445273|0.219255|-0.315947|0.602431|1.000725|-0.210157|0.244436|-0.061195|-0.255046|-0.326234|0.154828|-0.448065|0.156287|0.042774|-0.099225|-0.210157|1.000576|-0.109733|0.175334|-0.039121|0.003992|0.080205|0.069414|-0.084264|-0.096089|0.265948|0.244436|-0.109733|1.000380|-0.021998|-0.274465|-0.323812|0.163671|-0.333461|0.236599|0.102782|0.209781|-0.061195|0.175334|-0.021998|1.000693|-0.378294|-0.105459|0.576737|-0.014415|0.096646|0.005836|-0.432825|-0.255046|-0.039121|-0.274465|-0.378294|1.000603|0.815223|-0.810481|0.772918|-0.097871|0.047413|-0.327101|-0.326234|0.003992|-0.323812|-0.105459|0.815223|1.000604|-0.442235|0.836812|-0.109786|-0.003443|0.471597|0.154828|0.080205|0.163671|0.576737|-0.810481|-0.442235|1.000389|-0.419337|0.076855|0.128031|-0.445273|-0.448065|0.069414|-0.333461|-0.014415|0.772918|0.836812|-0.419337|1.000682|-0.173747|-0.032874|0.219255|0.156287|-0.084264|0.236599|0.096646|-0.097871|-0.109786|0.076855|-0.173747|1.000597,
GNN,8,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000590|0.098968|0.074680|0.133115|0.060630|-0.126592|0.159753|0.075718|0.111476|-0.271405|0.053633|0.098968|1.000759|0.235080|0.379482|0.199187|-0.298842|0.521853|0.405875|0.502027|-0.308312|0.183851|0.074680|0.235080|1.000608|0.142827|-0.003277|-0.120544|0.068734|0.006624|0.088903|-0.115922|0.071601|0.133115|0.379482|0.142827|1.000687|0.167112|-0.484393|0.137876|0.026538|0.051326|-0.151352|0.295493|0.060630|0.199187|-0.003277|0.167112|1.000362|-0.244781|0.031423|0.009994|-0.020847|0.056689|0.295258|-0.126592|-0.298842|-0.120544|-0.484393|-0.244781|1.000582|0.134236|0.315854|0.255190|-0.048594|-0.393408|0.159753|0.521853|0.068734|0.137876|0.031423|0.134236|1.000551|0.876016|0.942396|-0.568675|0.051437|0.075718|0.405875|0.006624|0.026538|0.009994|0.315854|0.876016|1.000608|0.904895|-0.225820|-0.036592|0.111476|0.502027|0.088903|0.051326|-0.020847|0.255190|0.942396|0.904895|1.000511|-0.513843|-0.009671|-0.271405|-0.308312|-0.115922|-0.151352|0.056689|-0.048594|-0.568675|-0.225820|-0.513843|1.000426|-0.004359|0.053633|0.183851|0.071601|0.295493|0.295258|-0.393408|0.051437|-0.036592|-0.009671|-0.004359|1.000603,
GNN,9,336,mu|alpha|eps_HOMO|eps_LUMO|R2|zpve|U0|U|H|G|Cv,1.000637|0.017171|0.042141|0.166140|0.093476|0.112484|0.056465|0.049142|0.017175|0.091760|0.059065|0.017171|1.000640|0.077828|-0.085237|0.041395|-0.045766|-0.316653|-0.297071|-0.301344|-0.146471|-0.042999|0.042141|0.077828|1.000682|-0.080372|0.066426|-0.469988|-0.052618|0.112835|-0.098722|0.298561|-0.303292|0.166140|-0.085237|-0.080372|1.000683|0.047930|0.318493|0.153696|-0.021338|0.123179|0.119872|-0.016847|0.093476|0.041395|0.066426|0.047930|1.000321|-0.018167|-0.082916|-0.059842|-0.051180|-0.017127|-0.152874|0.112484|-0.045766|-0.469988|0.318493|-0.018167|1.000649|0.273609|-0.153491|0.290856|-0.248539|0.425594|0.056465|-0.316653|-0.052618|0.153696|-0.082916|0.273609|1.000685|0.366635|0.931147|0.491647|0.043017|0.049142|-0.297071|0.112835|-0.021338|-0.059842|-0.153491|0.366635|1.000688|0.338843|0.278595|0.054681|0.017175|-0.301344|-0.098722|0.123179|-0.051180|0.290856|0.931147|0.338843|1.000710|0.318789|0.091654|0.091760|-0.146471|0.298561|0.119872|-0.017127|-0.248539|0.491647|0.278595|0.318789|1.000692|-0.359000|0.059065|-0.042999|-0.303292|-0.016847|-0.152874|0.425594|0.043017|0.054681|0.091654|-0.359000|1.000722,
