mu,alpha,eps_HOMO,eps_LUMO,R2,zpve,U0,U,H,G,Cv
4.511951583601924375e-05,3.321654566756759852e-01,2.482256811367486160e-01,2.831672212385554221e-01,7.878388265248065236e-02,5.176737838003419023e-01,2.992301515324823358e-01,2.631263918153669001e-01,2.650479679311467107e-01,2.346486853849763798e-01,4.105312280990573992e-01
4.166704483954704052e-01,4.508023281951070889e-05,3.801651338044346740e-01,3.888907308176289268e-01,4.546245933979483622e-01,4.821441951738790754e-01,3.300018568178400558e-01,3.244633430748483094e-01,2.802121884707018395e-01,2.164905266908456749e-01,4.276772569605482577e-01
2.047111192066737306e-01,2.928131928115098592e-01,4.506130086756834799e-05,3.081022948980490228e-01,3.785264553113479868e-01,1.011976786174975107e-01,3.554688670870828071e-01,4.006699370245297431e-01,4.353183818472721178e-01,4.194062725913929035e-01,3.034404138146460372e-01
2.753907353665451807e-01,3.754983038125395689e-01,3.293957207225279293e-01,4.507033902043940083e-05,2.450908487965147708e-01,5.688741400656820435e-01,4.013383275020381835e-01,4.032276240352631880e-01,4.062752306828052995e-01,3.397024305800521171e-01,3.537946617061228927e-01
2.956298826541692293e-01,4.424422055040101442e-01,6.152677498099214937e-01,4.797580469507973788e-01,4.516844928416919978e-05,6.668188463046099690e-01,3.707677879172653346e-01,2.719300633399710510e-01,2.654380412231803765e-01,1.331459335929199850e-01,7.651437494691626373e-01
5.240367556684162320e-01,4.614992663713694543e-01,5.930182577881260020e-01,5.920134720244788484e-01,6.411689854851992942e-01,4.519625561656387104e-05,4.344614466104481099e-01,5.522775090877761750e-01,7.012643482652309856e-01,7.286686338358531190e-01,1.881371803347464122e-01
3.166966565020870039e-01,1.173975913931047795e-10,3.887110885895657120e-01,4.109569604317795943e-01,1.199733572714317217e-09,4.032352316629852496e-01,4.516844993344430097e-05,1.330235626161427320e-01,6.235987199643442530e-03,9.137380752605853140e-02,4.558909323558525406e-01
2.699461354859591378e-01,3.974238074571601223e-10,4.389840145420389472e-01,4.189127868425689960e-01,3.561841672395593503e-10,5.064726202177057823e-01,1.374719055660214573e-01,4.518875055737609891e-05,1.529562173669020420e-01,1.330365344680045636e-01,5.067246162188445702e-01
2.554673490068700148e-01,2.358031050147769920e-10,4.570834472420048922e-01,4.102015528763407470e-01,1.607515910053605880e-09,6.928372634255242080e-01,7.979439780424214465e-03,1.577018542233428744e-01,4.519361347449457150e-05,2.699880364810271216e-02,6.175687597333273660e-01
2.340641102478620006e-01,4.914311666669680231e-10,4.729524702704657191e-01,3.695515340493551459e-01,3.036460301148956734e-10,6.836619430398390707e-01,9.749101989990743844e-02,1.343201959477366703e-01,2.743386086695923445e-02,4.519062441411603382e-05,6.958887679259688763e-01
4.285489103529582233e-01,4.208767308742165092e-01,4.215071085963134623e-01,4.167038851902643004e-01,6.635175850400972797e-01,1.479000730824679699e-01,5.124608044633818249e-01,5.280846516535675494e-01,6.382254532528089941e-01,7.313399440385180972e-01,4.512118293324638823e-05
