mu,alpha,eps_HOMO,eps_LUMO,R2,zpve,U0,U,H,G,Cv
1.000615062500000096e+00,2.071743749999999454e-02,8.844625000000000403e-02,1.154454375000000116e-01,6.570381250000000006e-02,-2.107249999999997146e-03,1.123066875000000020e-01,1.158101249999999999e-01,9.784899999999999154e-02,1.302093125000000073e-01,8.942125000000000420e-03
2.071743749999999454e-02,1.000702187499999729e+00,4.936843750000002168e-02,2.185174999999999965e-02,2.774774999999999464e-02,-7.426249999999995355e-03,1.190576250000000003e-01,1.272553750000000039e-01,1.863769375000000061e-01,2.633683124999999792e-01,6.781012499999999887e-02
8.844625000000000403e-02,4.936843750000002168e-02,1.000744187500000049e+00,1.518845625000000144e-01,-3.023268750000000088e-02,-1.339466250000000136e-01,4.671237499999998655e-02,5.795662500000001160e-02,3.525412500000001115e-02,3.015000000000000666e-02,3.800256250000000335e-02
1.154454375000000116e-01,2.185174999999999965e-02,1.518845625000000144e-01,1.000724124999999853e+00,2.112318750000000134e-02,-4.979043750000002044e-02,5.117106249999999606e-02,1.882368750000000882e-02,6.161818749999999068e-02,7.837881249999999189e-02,3.538812500000000725e-03
6.570381250000000006e-02,2.774774999999999464e-02,-3.023268750000000088e-02,2.112318750000000134e-02,1.000506687500000158e+00,-5.171406249999999788e-02,5.238893750000001015e-02,1.568848125000000260e-01,1.575842500000000368e-01,2.611657500000000298e-01,-2.412096250000000108e-01
-2.107249999999997146e-03,-7.426249999999995355e-03,-1.339466250000000136e-01,-4.979043750000002044e-02,-5.171406249999999788e-02,1.000445124999999935e+00,1.383620624999999937e-01,1.554262500000000435e-02,-1.210234374999999835e-01,-1.176910000000000178e-01,1.921074999999999589e-01
1.123066875000000020e-01,1.190576250000000003e-01,4.671237499999998655e-02,5.117106249999999606e-02,5.238893750000001015e-02,1.383620624999999937e-01,1.000506687500000158e+00,5.357129375000000415e-01,6.553213125000000305e-01,5.182355000000000711e-01,-2.953474999999999503e-02
1.158101249999999999e-01,1.272553750000000039e-01,5.795662500000001160e-02,1.882368750000000882e-02,1.568848125000000260e-01,1.554262500000000435e-02,5.357129375000000415e-01,1.000461749999999927e+00,5.450425000000000963e-01,5.066979375000000285e-01,-3.926862500000000145e-02
9.784899999999999154e-02,1.863769375000000061e-01,3.525412500000001115e-02,6.161818749999999068e-02,1.575842500000000368e-01,-1.210234374999999835e-01,6.553213125000000305e-01,5.450425000000000963e-01,1.000450999999999757e+00,7.600937500000000124e-01,-1.029874375000000286e-01
1.302093125000000073e-01,2.633683124999999792e-01,3.015000000000000666e-02,7.837881249999999189e-02,2.611657500000000298e-01,-1.176910000000000178e-01,5.182355000000000711e-01,5.066979375000000285e-01,7.600937500000000124e-01,1.000457625000000128e+00,-1.625926874999999994e-01
8.942125000000000420e-03,6.781012499999998500e-02,3.800256250000000335e-02,3.538812500000000725e-03,-2.412096250000000108e-01,1.921074375000000056e-01,-2.953474999999999503e-02,-3.926862500000000145e-02,-1.029874375000000286e-01,-1.625926874999999994e-01,1.000611374999999859e+00
