mu,alpha,eps_HOMO,eps_LUMO,R2,zpve,U0,U,H,G,Cv
1.000618749999999890e+00,-8.277056249999999171e-02,-1.634137499999999826e-02,9.016437500000005351e-03,4.075806249999999742e-02,6.779837499999998018e-02,8.856437500000003196e-03,-5.422312499999992243e-03,1.520849999999999980e-02,-5.385893749999999536e-02,-3.110700000000000270e-02
-8.277056249999999171e-02,1.000705437499999961e+00,8.124893749999999304e-02,9.311124999999999957e-03,4.452625000000001027e-02,-1.432182500000000469e-01,1.067630625000000055e-01,1.344739999999999824e-01,5.663793749999999905e-02,4.203237499999999682e-02,1.637026249999999905e-01
-1.634137499999999826e-02,8.124893749999999304e-02,1.000649625000000098e+00,2.309268749999999690e-02,1.134625000000001951e-03,-1.024390625000000110e-01,-9.205299999999998206e-02,-9.124356250000002777e-02,5.574450000000000238e-02,-1.157290624999999795e-01,9.186412500000001868e-02
9.016437500000005351e-03,9.311124999999999957e-03,2.309268749999999690e-02,1.000687187500000297e+00,-3.932062499999999100e-02,1.124249999999979432e-03,-2.437762499999999999e-02,-6.875037500000000246e-02,-3.016087500000000018e-02,5.325275000000000147e-02,-5.948618750000000260e-02
4.075806249999999742e-02,4.452625000000001027e-02,1.134625000000001951e-03,-3.932062499999999100e-02,1.000431875000000081e+00,2.691499999999992510e-03,-8.369662499999999672e-02,-8.842362499999999181e-02,-3.137499999999997929e-03,-1.114533124999999986e-01,4.453768750000000609e-02
6.779837499999998018e-02,-1.432182500000000469e-01,-1.024390625000000110e-01,1.124249999999979432e-03,2.691499999999992510e-03,1.000663187500000051e+00,1.527958125000000167e-01,2.230728125000000228e-01,-1.955250000000000737e-02,8.593468749999998157e-02,-1.304368125000000267e-01
8.856437500000003196e-03,1.067630625000000055e-01,-9.205299999999998206e-02,-2.437762499999999999e-02,-8.369662499999999672e-02,1.527958125000000167e-01,1.000602062500000056e+00,7.905247499999999983e-01,2.115504375000000215e-01,4.368565000000000365e-01,-5.257406250000000447e-02
-5.422312499999992243e-03,1.344739999999999824e-01,-9.124356250000002777e-02,-6.875037500000000246e-02,-8.842362499999999181e-02,2.230728125000000228e-01,7.905247499999999983e-01,1.000576562500000044e+00,1.671143125000000007e-01,4.564557500000001045e-01,-8.915131250000002394e-02
1.520849999999999980e-02,5.663793749999999905e-02,5.574450000000000238e-02,-3.016087500000000018e-02,-3.137499999999997929e-03,-1.955250000000000737e-02,2.115504375000000215e-01,1.671143125000000007e-01,1.000590749999999751e+00,-2.196279374999999812e-01,4.644118749999999463e-02
-5.385893749999999536e-02,4.203237499999999682e-02,-1.157290624999999795e-01,5.325275000000000147e-02,-1.114533124999999986e-01,8.593468749999998157e-02,4.368565000000000365e-01,4.564557500000001045e-01,-2.196279374999999812e-01,1.000496374999999993e+00,-1.802947500000000314e-01
-3.110700000000000270e-02,1.637026249999999905e-01,9.186412500000001868e-02,-5.948618750000000260e-02,4.453762499999999736e-02,-1.304368125000000267e-01,-5.257406250000000447e-02,-8.915131250000002394e-02,4.644131249999999822e-02,-1.802947500000000314e-01,1.000645124999999913e+00
