mu,alpha,eps_HOMO,eps_LUMO,R2,zpve,U0,U,H,G,Cv
4.538802466713650404e-05,5.786260711433495185e-01,2.994831262812883699e-01,2.498527734940088063e-01,3.317700634199254317e-01,3.978337838144548888e-01,2.613033052373092135e-01,4.522576548369306448e-01,2.459381892148395365e-01,3.096979426373634436e-01,4.102741601295176732e-01
6.484869155469922264e-01,4.538606742352698913e-05,4.724911466941123517e-01,1.431305051002333709e-05,4.426792038684591590e-01,4.070907789729979465e-01,2.454091029860318574e-01,4.593176977276474671e-01,1.750812792043038302e-01,3.392559117204775321e-01,9.282703798935935946e-02
3.192290313488937992e-01,4.546462635980548783e-01,4.537710622446232091e-05,2.498171791922390028e-01,3.961371287439009459e-01,3.500126347749482059e-01,4.449804711916197086e-01,2.446059478636915530e-01,3.693379436848721054e-01,3.839412842131178505e-01,4.665804717707125460e-01
3.452529983641219324e-01,4.007722206334849435e-01,2.837118645672533357e-01,4.537563113759997832e-05,3.275238511748884696e-01,4.404250790878783128e-01,2.325167885688064484e-01,4.842038159140063525e-01,1.621331456672227278e-01,2.481632517907726709e-01,2.972673679384870704e-01
3.587607463364634874e-01,4.413621969651933541e-01,4.078537731024654556e-01,1.606148575829280498e-06,4.539026566432088883e-05,3.732138656425817436e-01,3.997266734945355560e-01,4.213278803713598752e-01,4.557798566355353853e-01,4.178841064189158794e-01,4.888036768356425754e-01
4.847800722476713897e-01,4.800817600448769040e-01,4.213198910751469461e-01,7.436705945640468543e-05,4.612413661227671158e-01,4.535009655904959254e-05,5.244687791332139915e-01,2.975326950719986985e-01,4.925935851474023131e-01,5.123071920163342341e-01,2.976149311918308560e-01
1.214461817719243580e-01,2.409353669282246757e-01,4.414320222818081917e-03,2.325946010083940831e-06,3.811705885338904087e-01,5.028538026287162621e-01,4.529216757460521956e-05,1.442622501964922754e-01,7.522832147536585509e-03,1.743002388501379077e-02,1.053256951493694998e-01
2.401501178227241073e-01,4.465996679733000851e-01,1.060735630207746381e-03,8.018112795601201411e-06,4.086219284770913340e-01,2.750217474412319785e-01,1.453079490538836116e-01,4.518159718331087212e-05,2.946132223931366423e-01,1.469059353911944255e-01,3.587289921389826275e-01
1.013008849414242796e-01,1.604079732122935809e-01,8.658087554481221429e-03,1.413759995795457703e-06,4.499888314778491272e-01,4.217582380799725361e-01,7.374172106474499375e-03,3.004248449507501695e-01,4.528812680559436287e-05,3.722593873638911383e-03,4.648515846702019894e-02
1.833673455294605736e-01,3.161267405994540036e-01,2.545962990700265886e-03,1.657078603333635664e-06,3.969304152677820552e-01,4.547822275143956761e-01,1.831148229141748088e-02,1.441662950708623436e-01,4.733475085210947682e-03,4.526663924312854714e-05,1.705118920230687674e-01
4.712065178146153110e-01,9.339262489952669666e-02,4.871432889652206333e-01,4.633089232257650334e-07,5.115686491599237273e-01,2.776720289346283344e-01,1.217965731774277027e-01,3.997898186441476431e-01,5.651339379488362624e-02,1.908354833855449018e-01,4.534889969649467337e-05
