mu,alpha,eps_HOMO,eps_LUMO,R2,zpve,U0,U,H,G,Cv
1.000021687499999867e+00,-8.758612500000000078e-02,1.022592500000000099e-01,5.439375000000000460e-02,1.022248749999999928e-01,2.089518750000000230e-02,1.005059375000000171e-01,-2.319231249999999939e-02,1.151691249999999972e-01,7.926781250000000667e-02,-2.880656250000001098e-02
-8.758612500000000078e-02,1.000025999999999859e+00,2.322687500000000099e-03,6.100706250000000053e-02,5.841743750000002317e-02,4.949599999999998445e-02,1.668618124999999841e-01,-2.145068750000000968e-02,2.899288750000000303e-01,7.090225000000000000e-02,4.963112500000000371e-01
1.022592500000000099e-01,2.322687500000000099e-03,1.000045749999999956e+00,1.365690000000000237e-01,6.362843749999999576e-02,7.389474999999999516e-02,3.077374999999998514e-02,1.593594999999999873e-01,3.758537500000000420e-02,6.151624999999999455e-02,4.815187499999991350e-03
5.439375000000000460e-02,6.100706250000000053e-02,1.365690000000000237e-01,1.000048999999999744e+00,9.834262499999997520e-02,5.848037499999999417e-02,2.860768124999999995e-01,1.252368750000001571e-02,3.464735624999999430e-01,2.417166874999999715e-01,1.955444375000000290e-01
1.022248749999999928e-01,5.841743750000002317e-02,6.362843749999999576e-02,9.834262499999997520e-02,1.000016749999999899e+00,-2.776343749999999472e-02,-4.223500000000005028e-03,-1.490743750000000228e-02,-3.930625000000027847e-04,1.752118750000000377e-02,-5.157543749999998067e-02
2.089518750000000230e-02,4.949599999999998445e-02,7.389474999999999516e-02,5.848037499999999417e-02,-2.776343749999999472e-02,1.000105312500000121e+00,1.827206249999998450e-02,2.852324374999999912e-01,5.215900000000003173e-02,3.800099999999998618e-02,1.043806250000000047e-01
1.005059375000000171e-01,1.668618124999999841e-01,3.077374999999998514e-02,2.860768124999999995e-01,-4.223500000000005028e-03,1.827206249999998450e-02,1.000233187499999898e+00,5.092624999999999513e-01,8.131019375000000382e-01,8.040553750000000166e-01,3.420761875000000729e-01
-2.319231249999999939e-02,-2.145068750000000968e-02,1.593594999999999873e-01,1.252368750000001571e-02,-1.490743750000000228e-02,2.852324374999999912e-01,5.092624999999999513e-01,1.000477937499999914e+00,3.803143125000000291e-01,5.729730000000000656e-01,6.415981250000002412e-02
1.151691249999999972e-01,2.899288750000000303e-01,3.758537500000000420e-02,3.464735624999999430e-01,-3.930625000000027847e-04,5.215900000000003173e-02,8.131019375000000382e-01,3.803143125000000291e-01,1.000242125000000204e+00,7.410386250000000619e-01,4.250248124999999599e-01
7.926781250000000667e-02,7.090225000000000000e-02,6.151624999999999455e-02,2.417166874999999715e-01,1.752118750000000377e-02,3.800099999999998618e-02,8.040553750000000166e-01,5.729730000000000656e-01,7.410386250000000619e-01,1.000289624999999960e+00,2.189535625000000041e-01
-2.880656250000001098e-02,4.963112500000000371e-01,4.815187499999991350e-03,1.955444375000000290e-01,-5.157543749999998067e-02,1.043806250000000047e-01,3.420761875000000729e-01,6.415987500000000510e-02,4.250246874999999425e-01,2.189535625000000041e-01,1.000107937500000155e+00
