mu,alpha,eps_HOMO,eps_LUMO,R2,zpve,U0,U,H,G,Cv
1.000012124999999807e+00,1.552345624999999785e-01,1.361778124999999950e-01,6.879706249999999190e-02,3.739782500000000121e-01,1.785300625000000030e-01,1.836105624999999630e-01,2.109285000000000188e-01,1.666069374999999686e-01,9.410468750000000604e-02,7.258999999999999828e-03
1.552345624999999785e-01,1.000049625000000164e+00,5.335374999999999146e-02,9.457756250000000364e-02,-1.560575000000000156e-02,3.070251875000000186e-01,2.823640625000000681e-01,2.101220624999999564e-01,2.091637500000000094e-01,2.600205000000000433e-01,6.337737500000001356e-02
1.361778124999999950e-01,5.335374999999999146e-02,1.000037625000000041e+00,7.699749999999999650e-02,2.233050000000000659e-02,1.063268750000000325e-02,-1.941187500000001245e-02,2.016862500000000946e-02,-8.844812500000000244e-03,-7.757137499999999797e-02,-9.571062499999991036e-03
6.879706249999999190e-02,9.457756250000000364e-02,7.699749999999999650e-02,1.000053999999999998e+00,-8.380368750000000144e-02,7.491949999999999998e-02,8.047768749999997806e-02,4.502412499999999124e-02,-4.306574999999999986e-02,1.419786875000000059e-01,-6.051181250000001177e-02
3.739782500000000121e-01,-1.560575000000000156e-02,2.233050000000000659e-02,-8.380368750000000144e-02,1.000012624999999877e+00,-6.077350000000000807e-02,-7.609062500000002109e-03,6.557599999999999540e-02,7.167187500000003417e-03,-6.313175000000001424e-02,7.420812499999991652e-03
1.785300625000000030e-01,3.070251875000000186e-01,1.063268750000000325e-02,7.491949999999999998e-02,-6.077350000000000807e-02,1.000080875000000091e+00,1.904515000000000235e-01,1.238614375000000184e-01,1.389609374999999925e-01,2.015343125000000346e-01,1.438787499999999442e-02
1.836105624999999630e-01,2.823640625000000681e-01,-1.941187500000001245e-02,8.047768749999997806e-02,-7.609062500000002109e-03,1.904515000000000235e-01,1.000136375000000077e+00,8.796889374999999900e-01,8.224486250000000442e-01,7.415230624999998854e-01,8.293781249999998550e-02
2.109285000000000188e-01,2.101220624999999564e-01,2.016862500000000946e-02,4.502412499999999124e-02,6.557599999999999540e-02,1.238614375000000184e-01,8.796889374999999900e-01,1.000109812500000084e+00,8.690194374999999916e-01,6.527473124999998433e-01,1.208351250000000016e-01
1.666069374999999686e-01,2.091637500000000094e-01,-8.844812500000000244e-03,-4.306574999999999986e-02,7.167187500000003417e-03,1.389609374999999925e-01,8.224486250000000442e-01,8.690194374999999916e-01,1.000102125000000175e+00,5.685686875000000029e-01,1.762434375000000164e-01
9.410468750000000604e-02,2.600205000000000433e-01,-7.757137499999999797e-02,1.419786875000000059e-01,-6.313175000000001424e-02,2.015343125000000346e-01,7.415230624999998854e-01,6.527473124999998433e-01,5.685686875000000029e-01,1.000132000000000021e+00,-7.454631249999998932e-02
7.258999999999999828e-03,6.337737500000001356e-02,-9.571062499999991036e-03,-6.051181250000001177e-02,7.420812499999991652e-03,1.438793749999999622e-02,8.293781249999998550e-02,1.208351250000000016e-01,1.762433750000000077e-01,-7.454631249999998932e-02,1.000088562500000000e+00
