backbone,epoch,tau_mean,tau_min,tau_max,L_magnitude,L_progress
GNN,1,-0.050636,-0.059991,-0.041281,3.1447,-4.19177
GNN,2,-0.095569,-0.117708,-0.073430,2.05701,-4.26801
GNN,3,-0.093159,-0.111103,-0.075216,0.440825,-3.39113
GNN,4,-0.053321,-0.063038,-0.043605,0.408358,-3.43216
GNN,5,-0.033850,-0.036350,-0.031351,0.406435,-2.67035
GNN,6,-0.061027,-0.061801,-0.060252,0.485403,-3.2052
GNN,7,-0.057534,-0.058978,-0.056089,0.414437,-3.23946
GNN,8,-0.027302,-0.029651,-0.024953,0.522361,-3.1637
GNN,9,-0.035850,-0.039571,-0.032129,0.531937,-3.5645
GNN,10,-0.037383,-0.041666,-0.033099,0.565058,-3.34076
GNN,11,-0.048261,-0.053103,-0.043420,0.5709,-3.15625
GNN,12,-0.058300,-0.064035,-0.052565,0.612532,-3.77823
GNN,13,-0.067616,-0.073709,-0.061523,0.640848,-3.70863
GNN,14,-0.069767,-0.077872,-0.061663,0.656722,-3.7386
GNN,15,-0.065365,-0.074091,-0.056640,0.745077,-3.9873
GNN,16,-0.061588,-0.070638,-0.052537,0.717412,-3.89262
GNN,17,-0.063673,-0.073188,-0.054157,0.739539,-3.93761
GNN,18,-0.063735,-0.073728,-0.053742,0.744402,-4.11454
GNN,19,-0.063665,-0.073864,-0.053465,0.736854,-4.28849
GNN,20,-0.063842,-0.074072,-0.053613,0.708535,-4.23192
GNN,21,-0.062104,-0.075116,-0.049093,0.723922,-4.16947
GNN,22,-0.085027,-0.096592,-0.073462,0.877466,-4.94239
GNN,23,-0.054879,-0.067798,-0.041960,0.815657,-4.38299
GNN,24,-0.058399,-0.071166,-0.045633,0.654619,-3.73667
GNN,25,-0.067867,-0.079874,-0.055860,0.659784,-3.55284
GNN,26,-0.066483,-0.077954,-0.055012,0.710176,-3.63393
GNN,27,-0.070486,-0.083141,-0.057830,0.708067,-4.13911
GNN,28,-0.051974,-0.063367,-0.040582,0.667864,-3.4545
GNN,29,-0.055882,-0.064764,-0.047000,0.634069,-3.45818
GNN,30,-0.046144,-0.055193,-0.037096,0.653329,-3.28437
GNN,31,-0.047870,-0.056885,-0.038854,0.631706,-3.3542
GNN,32,-0.045490,-0.054306,-0.036673,0.663654,-3.05906
GNN,33,-0.057673,-0.066239,-0.049107,0.617794,-3.10084
GNN,34,-0.054363,-0.062345,-0.046381,0.611149,-3.03304
GNN,35,-0.054721,-0.063093,-0.046349,0.573938,-2.9275
GNN,36,-0.057167,-0.065529,-0.048805,0.59785,-2.8975
GNN,37,-0.058890,-0.067057,-0.050723,0.631393,-3.13235
GNN,38,-0.059624,-0.067639,-0.051608,0.561074,-2.76018
GNN,39,-0.059598,-0.067555,-0.051642,0.564009,-2.67159
GNN,40,-0.059786,-0.067742,-0.051830,0.583757,-2.80644
GNN,41,-0.063051,-0.069262,-0.056839,0.573806,-2.63221
GNN,42,-0.066434,-0.072160,-0.060708,0.578083,-2.70713
GNN,43,-0.071495,-0.078133,-0.064857,0.537924,-2.52001
GNN,44,-0.076745,-0.082831,-0.070660,0.583316,-2.72282
GNN,45,-0.069953,-0.077376,-0.062529,0.541337,-2.38851
GNN,46,-0.072965,-0.079987,-0.065943,0.55545,-2.59826
GNN,47,-0.078111,-0.085161,-0.071061,0.521253,-2.37952
GNN,48,-0.068400,-0.074137,-0.062663,0.537143,-2.35101
GNN,49,-0.061475,-0.067306,-0.055645,0.554705,-2.48031
GNN,50,-0.061449,-0.066561,-0.056337,0.535564,-2.37776
GNN,51,-0.062294,-0.067628,-0.056960,0.552609,-2.482
GNN,52,-0.064550,-0.069202,-0.059897,0.510663,-2.24768
GNN,53,-0.065418,-0.070319,-0.060517,0.491859,-2.25874
GNN,54,-0.073800,-0.078329,-0.069271,0.494451,-2.30828
GNN,55,-0.077962,-0.082780,-0.073145,0.480487,-2.14302
GNN,56,-0.079913,-0.084889,-0.074937,0.45064,-2.0801
GNN,57,-0.079969,-0.085039,-0.074899,0.479117,-2.23337
GNN,58,-0.079477,-0.084472,-0.074482,0.497085,-2.30249
GNN,59,-0.079151,-0.084135,-0.074166,0.459505,-2.07445
GNN,60,-0.078977,-0.083969,-0.073985,0.44108,-2.00194
GNN,61,-0.089919,-0.094524,-0.085314,0.440808,-1.98609
GNN,62,-0.095536,-0.101396,-0.089676,0.447526,-2.02376
GNN,63,-0.085941,-0.092228,-0.079654,0.437485,-2.07667
GNN,64,-0.070061,-0.074371,-0.065750,0.435894,-1.92493
GNN,65,-0.087564,-0.091701,-0.083426,0.457075,-2.07562
GNN,66,-0.088917,-0.093018,-0.084817,0.424811,-2.01464
GNN,67,-0.092804,-0.096812,-0.088797,0.409103,-1.86413
GNN,68,-0.092211,-0.098226,-0.086196,0.433143,-1.97022
GNN,69,-0.097942,-0.101972,-0.093912,0.436722,-1.99989
GNN,70,-0.088854,-0.093544,-0.084164,0.403644,-1.88252
GNN,71,-0.086641,-0.091519,-0.081763,0.409543,-1.85676
GNN,72,-0.097228,-0.102923,-0.091532,0.446837,-1.96538
GNN,73,-0.093729,-0.099571,-0.087887,0.417226,-1.7846
GNN,74,-0.096001,-0.101022,-0.090979,0.424227,-1.98779
GNN,75,-0.096922,-0.101302,-0.092543,0.399627,-1.77364
GNN,76,-0.095445,-0.099937,-0.090954,0.390828,-1.81476
GNN,77,-0.094414,-0.098895,-0.089933,0.392644,-1.86083
GNN,78,-0.092490,-0.096976,-0.088004,0.381917,-1.66839
GNN,79,-0.091892,-0.096364,-0.087420,0.38343,-1.71426
GNN,80,-0.091878,-0.096347,-0.087410,0.414644,-1.79637
GNN,81,-0.068873,-0.072139,-0.065606,0.363509,-1.65197
GNN,82,-0.086510,-0.090055,-0.082965,0.379848,-1.71686
GNN,83,-0.082993,-0.086144,-0.079841,0.398187,-1.74105
GNN,84,-0.068951,-0.072025,-0.065877,0.369947,-1.67025
GNN,85,-0.083621,-0.086988,-0.080253,0.376131,-1.6766
GNN,86,-0.073519,-0.075872,-0.071167,0.352342,-1.51933
GNN,87,-0.063788,-0.067162,-0.060415,0.363741,-1.57645
GNN,88,-0.078652,-0.082157,-0.075147,0.339977,-1.57031
GNN,89,-0.086865,-0.091522,-0.082208,0.347159,-1.5957
GNN,90,-0.092422,-0.096947,-0.087897,0.347724,-1.58708
GNN,91,-0.085187,-0.089725,-0.080648,0.350343,-1.51276
GNN,92,-0.057319,-0.061442,-0.053196,0.36257,-1.50371
GNN,93,-0.058193,-0.061968,-0.054418,0.353255,-1.55278
GNN,94,-0.069735,-0.073046,-0.066424,0.350539,-1.57397
GNN,95,-0.075326,-0.078678,-0.071974,0.355021,-1.55599
GNN,96,-0.077208,-0.080740,-0.073677,0.332824,-1.51511
GNN,97,-0.077619,-0.081161,-0.074076,0.340824,-1.48697
GNN,98,-0.076964,-0.080558,-0.073370,0.342937,-1.48934
GNN,99,-0.076978,-0.080596,-0.073361,0.334635,-1.42479
GNN,100,-0.076873,-0.080494,-0.073251,0.348689,-1.48978
GNN,101,-0.082757,-0.085925,-0.079589,0.332081,-1.47383
GNN,102,-0.100093,-0.105732,-0.094453,0.32617,-1.46459
GNN,103,-0.090121,-0.095046,-0.085195,0.338502,-1.50416
GNN,104,-0.093454,-0.098484,-0.088424,0.32096,-1.4709
GNN,105,-0.080256,-0.084155,-0.076357,0.313757,-1.41456
GNN,106,-0.084367,-0.087967,-0.080767,0.30974,-1.42269
GNN,107,-0.088717,-0.093089,-0.084345,0.316411,-1.38209
GNN,108,-0.092353,-0.097617,-0.087090,0.319705,-1.41037
GNN,109,-0.087653,-0.093251,-0.082055,0.321026,-1.37966
GNN,110,-0.079609,-0.085832,-0.073387,0.307152,-1.37605
GNN,111,-0.074184,-0.079083,-0.069285,0.305065,-1.31962
GNN,112,-0.088022,-0.092301,-0.083742,0.300946,-1.37588
GNN,113,-0.092445,-0.096726,-0.088165,0.310648,-1.43695
GNN,114,-0.092881,-0.097256,-0.088506,0.311603,-1.40298
GNN,115,-0.093346,-0.097995,-0.088697,0.296752,-1.30869
GNN,116,-0.093820,-0.098631,-0.089009,0.300027,-1.31181
GNN,117,-0.094825,-0.099742,-0.089909,0.296506,-1.2917
GNN,118,-0.095865,-0.100775,-0.090954,0.303897,-1.3305
GNN,119,-0.095834,-0.100738,-0.090929,0.291751,-1.32173
GNN,120,-0.095807,-0.100707,-0.090907,0.290632,-1.29956
GNN,121,-0.104550,-0.109715,-0.099385,0.297531,-1.24775
GNN,122,-0.084759,-0.089781,-0.079738,0.308339,-1.26845
GNN,123,-0.085205,-0.090667,-0.079743,0.305794,-1.25191
GNN,124,-0.091403,-0.097038,-0.085768,0.301213,-1.28439
GNN,125,-0.097993,-0.102388,-0.093599,0.303152,-1.26383
GNN,126,-0.102606,-0.107411,-0.097800,0.292028,-1.23896
GNN,127,-0.107404,-0.111493,-0.103316,0.293769,-1.29363
GNN,128,-0.088718,-0.091708,-0.085728,0.287362,-1.25473
GNN,129,-0.077263,-0.080595,-0.073931,0.29223,-1.2504
GNN,130,-0.083698,-0.087250,-0.080146,0.278013,-1.21079
GNN,131,-0.094080,-0.098642,-0.089518,0.282126,-1.22978
GNN,132,-0.095174,-0.099952,-0.090396,0.291248,-1.2334
GNN,133,-0.089637,-0.094658,-0.084617,0.295972,-1.25272
GNN,134,-0.086299,-0.091436,-0.081162,0.290123,-1.19213
GNN,135,-0.085019,-0.089543,-0.080494,0.288114,-1.19779
GNN,136,-0.084761,-0.088946,-0.080575,0.298033,-1.22073
GNN,137,-0.084225,-0.088134,-0.080315,0.291971,-1.17665
GNN,138,-0.084337,-0.088295,-0.080380,0.27728,-1.17263
GNN,139,-0.084479,-0.088491,-0.080466,0.26998,-1.17494
GNN,140,-0.084468,-0.088486,-0.080450,0.27172,-1.18997
GNN,141,-0.096212,-0.100010,-0.092415,0.274985,-1.16433
GNN,142,-0.074597,-0.080255,-0.068939,0.282542,-1.12892
GNN,143,-0.080794,-0.085789,-0.075800,0.287419,-1.20428
GNN,144,-0.092918,-0.095947,-0.089890,0.279376,-1.16958
GNN,145,-0.085650,-0.090765,-0.080536,0.276005,-1.14854
GNN,146,-0.101746,-0.107285,-0.096208,0.2786,-1.21562
GNN,147,-0.092181,-0.097650,-0.086712,0.282026,-1.15198
GNN,148,-0.100796,-0.105757,-0.095834,0.279557,-1.22119
GNN,149,-0.095660,-0.101380,-0.089940,0.273781,-1.15898
GNN,150,-0.093287,-0.099770,-0.086803,0.267399,-1.11506
GNN,151,-0.083965,-0.089010,-0.078921,0.267351,-1.11707
GNN,152,-0.084795,-0.090015,-0.079576,0.264525,-1.11851
GNN,153,-0.082716,-0.087347,-0.078084,0.268835,-1.14343
GNN,154,-0.083812,-0.088406,-0.079217,0.254945,-1.11865
GNN,155,-0.085891,-0.090548,-0.081233,0.260427,-1.12766
GNN,156,-0.086197,-0.090883,-0.081511,0.26277,-1.13409
