Backbone,Method,mu,alpha,eps_HOMO,eps_LUMO,R2,zpve,U0,U,H,G,Cv
GNN,STL,0.1875,0.3393,0.1281,0.1372,0.7189,0.0058,2.1462,2.9965,2.0457,1.8637,0.1198
GNN,LS,0.2095,0.4394,0.1298,0.1409,6.4363,0.0143,10.8950,10.4963,10.1243,10.7659,0.1619
GNN,PCGrad,0.2345,0.4315,0.1354,0.1449,6.2282,0.0148,11.9401,12.7063,11.4701,12.0455,0.1763
GNN,AIM-Scalar,0.2320,0.4238,0.1380,0.1406,4.7518,0.0127,8.1768,8.6065,8.6348,8.5912,0.1562
GNN,AIM-Matrix,0.2389,0.4378,0.1412,0.1424,5.4407,0.0133,7.8390,8.2411,7.9004,7.2855,0.1596
Uni-Mol,STL,0.1871,0.3006,0.0895,0.0834,4.0731,0.0053,10.9445,7.1387,5.5867,7.7701,0.1165
Uni-Mol,LS,0.1780,0.2673,0.0792,0.0814,6.1818,0.0096,8.3076,10.1997,9.7622,8.2393,0.1275
Uni-Mol,PCGrad,0.1729,0.2705,0.0784,0.0799,5.9334,0.0100,8.4576,6.6511,8.0949,7.6697,0.1274
Uni-Mol,AIM-Scalar,0.1793,0.2808,0.0820,0.0834,6.9389,0.0108,8.6695,8.1472,9.0796,7.6135,0.1500
Uni-Mol,AIM-Matrix,0.1768,0.2730,0.0800,0.0840,6.3757,0.0107,7.2559,6.8739,6.5601,6.9607,0.1288
